,GC124661,GC124662,GC124663,GC124664,GC124665,GC124666,GC124667,GC124668,GC124669,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,GC124697,GC124698,GC124699,GC124700,GC124701,GC124702,GC124703,GC124704,GC124705,GC124706,GC124707,GC124708,GC124709,GC124710,GC124711,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738
BT_0001,29,57,34,145,106,109,112,40,29,94,70,59,4,10,0,85,12,51,40,36,31,144,113,103,2,48,13,40,10,33,0,45,35,29,48,48,261,279.998,228,77,25,81,19,41,74,34,54,41
BT_0002,79,89,65,89,65,41,0,8,8,80,103,64,66,32,0,138,59,39,67,31,57,133,113,79.002,19,5,56,0,5,6,0,15,32,49,39,49,196,197.002,128,81,69,68,0,17,0,25,12,16
BT_0003,28,41,20,47,14,19,0,2,0,30,16,42,6,8,0,0,0,6,23,11,16,54,52,31,10,0,15,17,0,0,0,45,0,26,38,30,42,31,37,70,61,42,10,12,0,0,8,0
BT_0004,3,11,7,10,6,35,0,3,14,2,4,7,5,0,8,0,0,0,5,13,4,5,0,15,0,0,16,0,0,0,0,0,21,0,3,3,9,13,9,7,31,0,0,0,0,3,0,0
BT_0005,5,6,2,6,11,18,0,2,0,7,8,3,0,0,0,0,0,7,4,7,8,0,3,6,0,9,0,0,0,0,0,0,0,7,8,5,2,13,11,0,10,0,0,0,0,0,0,6
BT_0006,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,11,0,0,10,0,5,4,1,21,0,0,0,0,0,0,0,0
BT_0007,3,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,7,6,0,0,0,0,0,0,0,0,1,0
BT_0008,2246.002,2543,2336,403,389,521,250,280,162,328,296,301,215,100,71,618,116,73,1723,1165,1595,595,342,371,352,320,455,236,162,386,110,577,137,1262,1268,1261,798.012,828,564,502,943,600,152,149,246,370,152,257
BT_0009,281,221,255,179,155,219,37,0,18,658,705,572,36,19,0,13,38,0,239,220,361,757,633,611,61,44,108,19,31,27,0,8,9,324,497,508,655.988,687,466,112,103,74,26,0,0,16,0,4
BT_0010,80,72,55,66,38,67,5,7,0,81,49,79,0,20,0,15,27,0,98,57,145,102,145,109,18,4,14,0,0,20,0,0,0,92,189,118,175,214,160,23,11,11,0,0,0,0,0,0
BT_0011,29.327,17,23,28,16,28,0,0,0,30,23,18,7,0,0,8,16,38,57,23,32,23,43,37,0,0,0,0,0,0,0,0,0,15,37,33,48,37,34,9,0,0,0,0,0,0,0,0
