GC code,Sample_name,Exp,Time,Stage,Species_stage,Replicate,Condition,Species.combi
GC124661,BT_T04,BT_batch_WC,4,I,BT_I,1,WC,BT
GC124662,BT_T04,BT_batch_WC,4,I,BT_I,2,WC,BT
GC124663,BT_T04,BT_batch_WC,4,I,BT_I,3,WC,BT
GC124664,BT_T12,BT_batch_WC,12,II,BT_II,1,WC,BT
GC124665,BT_T12,BT_batch_WC,12,II,BT_II,2,WC,BT
GC124666,BT_T12,BT_batch_WC,12,II,BT_II,3,WC,BT
GC124667,BT_T36,BT_batch_WC,36,IV,BT_IV,1,WC,BT
GC124668,BT_T36,BT_batch_WC,36,IV,BT_IV,2,WC,BT
GC124669,BT_T36,BT_batch_WC,36,IV,BT_IV,3,WC,BT
GC124688,BTRI_T12,BTRI_batch_WC,12,II,BTRI_II,1,WC,BTRI
GC124689,BTRI_T12,BTRI_batch_WC,12,II,BTRI_II,2,WC,BTRI
GC124690,BTRI_T12,BTRI_batch_WC,12,II,BTRI_II,3,WC,BTRI
GC124691,BTRI_T24,BTRI_batch_WC,24,III,BTRI_III,1,WC,BTRI
GC124692,BTRI_T24,BTRI_batch_WC,24,III,BTRI_III,2,WC,BTRI
GC124693,BTRI_T24,BTRI_batch_WC,24,III,BTRI_III,3,WC,BTRI
GC124694,BTRI_T36,BTRI_batch_WC,36,IV,BTRI_IV,1,WC,BTRI
GC124695,BTRI_T36,BTRI_batch_WC,36,IV,BTRI_IV,2,WC,BTRI
GC124696,BTRI_T36,BTRI_batch_WC,36,IV,BTRI_IV,3,WC,BTRI
GC124697,BT_mucin_T04,BT_batch_mucin,4,I,BT_I,1,mucin,BT
GC124698,BT_mucin_T04,BT_batch_mucin,4,I,BT_I,2,mucin,BT
GC124699,BT_mucin_T04,BT_batch_mucin,4,I,BT_I,3,mucin,BT
GC124700,BT_mucin_T12,BT_batch_mucin,12,II,BT_II,1,mucin,BT
GC124701,BT_mucin_T12,BT_batch_mucin,12,II,BT_II,2,mucin,BT
GC124702,BT_mucin_T12,BT_batch_mucin,12,II,BT_II,3,mucin,BT
GC124703,BT_mucin_T24,BT_batch_mucin,24,III,BT_III,1,mucin,BT
GC124704,BT_mucin_T24,BT_batch_mucin,24,III,BT_III,2,mucin,BT
GC124705,BT_mucin_T24,BT_batch_mucin,24,III,BT_III,3,mucin,BT
GC124706,BT_mucin_T48,BT_batch_mucin,48,IV,BT_IV,1,mucin,BT
GC124707,BT_mucin_T48,BT_batch_mucin,48,IV,BT_IV,2,mucin,BT
GC124708,BT_mucin_T48,BT_batch_mucin,48,IV,BT_IV,3,mucin,BT
GC124709,BT_mucin_T120,BT_batch_mucin,120,V,BT_V,1,mucin,BT
GC124710,BT_mucin_T120,BT_batch_mucin,120,V,BT_V,2,mucin,BT
GC124711,BT_mucin_T120,BT_batch_mucin,120,V,BT_V,3,mucin,BT
GC124724,BTRI_mucin_T06,BTRI_batch_mucin,6,I,BTRI_I,1,mucin,BTRI
GC124725,BTRI_mucin_T06,BTRI_batch_mucin,6,I,BTRI_I,2,mucin,BTRI
GC124726,BTRI_mucin_T06,BTRI_batch_mucin,6,I,BTRI_I,3,mucin,BTRI
GC124727,BTRI_mucin_T12,BTRI_batch_mucin,12,II,BTRI_II,1,mucin,BTRI
GC124728,BTRI_mucin_T12,BTRI_batch_mucin,12,II,BTRI_II,2,mucin,BTRI
GC124729,BTRI_mucin_T12,BTRI_batch_mucin,12,II,BTRI_II,3,mucin,BTRI
GC124730,BTRI_mucin_T24,BTRI_batch_mucin,24,III,BTRI_III,1,mucin,BTRI
GC124731,BTRI_mucin_T24,BTRI_batch_mucin,24,III,BTRI_III,2,mucin,BTRI
GC124732,BTRI_mucin_T24,BTRI_batch_mucin,24,III,BTRI_III,3,mucin,BTRI
GC124733,BTRI_mucin_T48,BTRI_batch_mucin,48,IV,BTRI_IV,1,mucin,BTRI
GC124734,BTRI_mucin_T48,BTRI_batch_mucin,48,IV,BTRI_IV,2,mucin,BTRI
GC124735,BTRI_mucin_T48,BTRI_batch_mucin,48,IV,BTRI_IV,3,mucin,BTRI
GC124736,BTRI_mucin_T120,BTRI_batch_mucin,120,V,BTRI_V,1,mucin,BTRI
GC124737,BTRI_mucin_T120,BTRI_batch_mucin,120,V,BTRI_V,2,mucin,BTRI
GC124738,BTRI_mucin_T120,BTRI_batch_mucin,120,V,BTRI_V,3,mucin,BTRI
