,GC124670,GC124671,GC124672,GC124673,GC124674,GC124675,GC124676,GC124677,GC124678,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,GC124712,GC124713,GC124714,GC124715,GC124716,GC124717,GC124718,GC124719,GC124720,GC124721,GC124722,GC124723,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738
RIL182_00001,9543.438,6356,3644,7654.448,6929.314,3979,3822,3751,7296,462,322,398,240,152,119,210,149,165,1690,1096,791,3958,3685,2138,2893.002,5616,8416,2773,647,2275,571,727,870,51,64,112,6,27,13,590,324,686,2727,2105,2370
RIL182_00002,8655.583,6902.965,4167,6564.191,5952.954,5078.526,3038.446,3647.665,5883.114,297,126,222,181,193,142,469,237,144,1514,1266.569,1408.471,2439.943,2417.045,1679,3325.612,5241.505,7043.043,3829,691,2893,525,579,712.312,64,120,121,19,36,8,611,369,761,2766.489,2240.067,2708.8
RIL182_00003,1743.432,1330.875,773.674,795.751,740.185,797.401,649.441,909.498,1295.642,30.949,19,27.759,68.692,31.723,0,110.857,56,50,231.349,190.251,307.974,465.418,607.253,341.684,586.403,840.295,825.137,369,164,512,75,69.845,118.688,12,2,4,1,0,0,188,105.981,273.308,442.977,392.983,531.743
RIL182_00004,11955.871,9299.658,6554.326,7445.057,7095.861,4591.072,6970.112,6669.837,11460.244,753.051,505,634.241,968.308,603.277,491,1089.143,809,583,2606.651,2017.18,2139.556,5930.639,6219.702,4512.316,5290.986,7544.2,9813.82,5308.056,2009,4910,837,995.155,1452,92,126,120,79,100,98,1859,1594.019,1715.692,4403.534,3477.95,4030.457
RIL182_00005,15802.295,10010.654,6273,12057.993,11234,6651,9794,10300,14782,1153,882,1177,744,732,685,612,533,589,2893,2082,2215,9873,8377,5978,6139,11734.051,14979.485,8570,2413,6246,1111,1825,2430,179,268,258,73,87,84,1371,1250,1913,5057,4044,4485
RIL182_00006,25082.22,15073.06,10448,18039.006,16929,11216,22577,22438,33574,1994,1562,1749,1483,1616,1487,1264,1548,1459,5266,3851,4314,14483.918,9382.008,8864,7952.006,15674,24338,14077,4927,10580.497,1880,2461,3419,310,385,337,151,326,107,2305,1477,2410,9120,6684,7887
RIL182_00007,1753.208,1081,464,1608,1280,1145,1804,1733,2537,169,138,168,184,170,97,115,201,154,251,160,176,973,725,540,638,1198,1520,791,143,652,116,216,295,28,55,34,0,21,0,63,161,143,880,538,737
RIL182_00008,1268.004,1040,526,1227,1045,1394,1222,1006,1384,134,98,95,213,48,143,117,161,144,221,192,181,752,745,965,608,1000,982,533,142,335,60,142,134,7,24,23,5,34,21,493,321,533,728,609,591
RIL182_00009,5713,6188.946,3893,5099.023,5101,6861.972,3423,2989.814,4917.448,304,227,279,662,368,152,326,332,332,2018,1806,2675.067,3338,3219,2845.204,4702,5897,5038,2299,802,2337,508,646,848,55,53,40,49,55,44,741,734,822,2123,1698,1936
"fig|536231.75.peg.10   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",36,18.054,18,31.977,46,70.028,9.012,19,30.552,1,2,10,6,0,0,5,0,0,5,4,4,29,5,1,21,55,42,34,0,37,4,5,9,0,0,2,0,0,0,0,0,0,14,25,11
RIL182_00010,1272.504,1157,434,16383,6396,7814,13204.988,12863.186,17511,236,223,149,576,309,299,5904,624,555,6664.853,5729,5523,1245,1389,1342.796,888,1315,720,474,431,388,33,95,140,9,13,17,75,16,28,2160,2076,2185,1355,1324,1365
RIL182_00011,176.496,187,121,2141.254,688,756,2514.783,2625.103,4144.654,61,36,28,98,58,63,706.917,107,76,455,404.743,471,192,127,185,152,225,145,152,67,51,18,26,27,3,1,4,0,0,0,145,143,126,337,270,314
RIL182_00012,2587.002,2024,1292,21026.889,5199.062,7738,37192.217,37880.897,43953.346,471,527,528,610,584,673,1648.083,654,503,1672,1624.656,1910,2183,2447,1841,1554,2963.233,2827,2377,1061,1459,184,265,392,50,48,61,26,144,25,1810,1714,2610,4446,3046,3728
"fig|536231.75.peg.14   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIL182_00013,5823.441,4885,2865,2631,1939,5563,6573,5844,9774,532,371,375,659,338,224,1216,411,314,3467,2936,3744,5525,5245,2858,3612,4765.052,3887,2315,1735,1689,256,379,642,154,133,133,256,293,216,1916,1909,2349,3248,2596,2805
RIL182_00014,4084,2777,1957,2116,1230,3504,2291,2890,4780,277,212,286,201,443,365,318,182,103,696,519,394,1707,1292,1039,1861,3935.083,2591,1828,852,1525,213,319,518,123,124,161,51,99,23,817,564,763,2854,1967,2220
RIL182_00015,2696.703,2256.166,1403,1559,994,2088.633,1575,2197,2910.413,177,146,192,272,156,107,195.504,278,102,450,346,212.19,1516.024,901.611,507,1637.194,2756,2096,1453,491,986,243,308,375,111,122,107,12,44,41,406,291,682,2411,1944,2227.652
RIL182_00016,1305.447,1040.834,768,848.004,390,1095.367,691,742,934.587,112,97,99,273,211,117,212.496,131,104,204,197,188.81,957.976,960.389,407,867.336,1481,1414,492,281,513,89,161,213,41,30,39,22,26,11,430,603,773,988,754,803.348
RIL182_00017,2958,2440,1310,2692,2188,2528,1295,1459,2819,161,116,127,239,83,97,239,102,152,1124,819,880.802,1609,1428,1065.06,1965.47,3095,2233,967,515,893,211,317,357,32,30,43,5,39,23,709,618,737,3033,2380,2670
RIL182_00018,1370,1118,509,1141,1006,668,1786,1254,2471,126,107,125,184,113,51,214,67,111,548,479,480,1531,1019,662,1165,1456,1021,603,234,434,84,167,227,20,35,32,64,41,0,717,633,704,1957,1572,1561
"fig|536231.75.peg.21   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",47,35,11,56,15,31,55,117,63,7,3,2,7,7,4,6,3,7,18,20,34,35,22,26,29,23,47,11,12,11,0,2,12,5,0,0,2,0,0,28,6,35,31,57,63
RIL182_00019,845,577,361,728,581,382,479,555,846,80,63,78,43,37,110,76,11,21,254,197,200,875,620,439,473,844,1029,572,247,425,72,120,125,10,23,15,6,18,0,316,283,339,1006,813,733
RIL182_00020,1927,1432,730,1795,1448,1334,1344,1405,2210,201,126,165,143,134,111,282,139,200,721,652,638,1604,1297,933,1289,1961,1944,654,293,557,130,262,277,28,41,42,51,10,11,542,450,525,2739,2252,2356
RIL182_00028,35444.3,35960.12,15453,32768.683,24622.766,42605,12119,12381,19942,2062.294,1498,1626,3027,1948,2013,4532,2252,2070,7747,6125,7655,14050.159,15849,11206,17047.91,25944.115,21844,10688,2496,10334,1551,3109,3435,233,306,311,249,470,280,10851,10233,12679,19054,14356,16902
RIL182_00029,3,1,0,0,0,0,3,29,4,0,0,0,0,0,0,0,0,0,13,20,2,73.763,49,53,3,9,0,4,0,16,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0
