"","GC124724","GC124725","GC124726","GC124727","GC124728","GC124729","GC124730","GC124731","GC124732","GC124733","GC124734","GC124735","GC124736","GC124737","GC124738"
"BT_0001",29,48,48,261,279.998,228,77,25,81,19,41,74,34,54,41
"BT_0002",49,39,49,196,197.002,128,81,69,68,0,17,0,25,12,16
"BT_0003",26,38,30,42,31,37,70,61,42,10,12,0,0,8,0
"BT_0004",0,3,3,9,13,9,7,31,0,0,0,0,3,0,0
"BT_0005",7,8,5,2,13,11,0,10,0,0,0,0,0,0,6
"BT_0006",0,10,0,5,4,1,21,0,0,0,0,0,0,0,0
"BT_0007",0,0,0,7,6,0,0,0,0,0,0,0,0,1,0
"BT_0008",1262,1268,1261,798.012,828,564,502,943,600,152,149,246,370,152,257
"BT_0009",324,497,508,655.988,687,466,112,103,74,26,0,0,16,0,4
"BT_0010",92,189,118,175,214,160,23,11,11,0,0,0,0,0,0
"BT_0011",15,37,33,48,37,34,9,0,0,0,0,0,0,0,0
"BT_0012",241,382.543,396,1075,1315,893,176,148,136,102,42,23,37,16,44
"BT_0013",24,69.457,70,117,134,66,45,9,44,0,6,0,0,3,0
"BT_0014",151,307,321,508,552,361,59,29,71,0,23,19,12,14,10
"BT_0015",8,39,41,85,62,49,0,0,0,0,0,0,9,0,0
"BT_0016",26,13,19,6,8,3,16,0,0,0,0,0,0,0,0
"BT_0017",5,21,22,21,37,24,9,5,10,0,5,0,11,0,3
"BT_0018",19,56,45,123,133,111,98,3,86,8,31,0,4,0,3
"BT_0019",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"BT_0020",0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"BT_0021",0,4,5,4,4,5,0,0,0,0,0,0,0,0,0
"BT_0022",21,16,13.583,42.957,20.951,39.977,19,5.824,0,0,0,0,13,19,3
"BT_0023",0,0,0,1,0,0,4.852,17.517,20,0,0,0,0,0,9
"BT_0024",23,11,38,64,96,64,205.148,312.483,173,25,28,22,19,8,24
"BT_0025",0,2,0,7,5,3,39,0,7,0,0,0,0,0,0
"BT_0026",15.143,6,19,11,0,5,40,43,61,0,2,0,8,2,0
"BT_0027",52,61,37.196,148.219,91.309,102,35,65,95,0,0,0,11,17,5
"BT_0028",26,76.999,40,86,80,85.999,8,0,0,0,12,0,0,0,4
"BT_0029",537,618.001,557,439,539,370.468,165,225,146,0,18,15,0,18,6
"BT_0030",286,352,343,144,234,182.532,84,161,71,0,0,0,8,0,1
"BT_0031",100,94,104.988,90.094,105,111,47,44,54,0,0,0,5,13,5
"BT_0032",1,1,2.012,16.906,1,0,0,0,0,0,0,0,0,0,0
"BT_0033",39,40,35,98,123,74,0,89,19,25,16,0,10,13,2
"BT_0034",118,94,120,285.667,292,261.002,554,965,395.554,24,21,0,124,31.999,63
"BT_0035",0,0,4,3,3,0,0,0,7,0,8,0,0,1,0
"BT_0036",41,28,55,79,120,63,47,5,38,17,6,13,21,0,5
"BT_0037",771,757,782.211,540,547,506,214,226.88,163,0,22,51,24,32,43
"BT_0038",12,24,18,27,24,10,15,78.12,1,0,0,0,5,0,3
"BT_0039",48,81.426,97.487,46.546,110.817,45,5,7,25,0,0,0,3,6,2
"BT_0040",113,123.574,161.513,132.454,193.183,58,12,23,73,7,30,6,33,8,16
"BT_0041",125,192.998,211,221.787,287,214,38,8,21,0,13,22,4,0,18
"BT_0042",66,58.002,45,56.213,43,38,0,0,10,0,8,0,4,0,5
"BT_0043",0,1,0,0,1,2,11,0,4,0,0,0,0,0,0
"BT_0044",22,17.288,17,40.214,60,60,11,29,34,0,0,0,0,6,0
