"","GC124697","GC124698","GC124699","GC124700","GC124701","GC124702","GC124703","GC124704","GC124705","GC124706","GC124707","GC124708","GC124709","GC124710","GC124711"
"BT_0001",40,36,31,144,113,103,2,48,13,40,10,33,0,45,35
"BT_0002",67,31,57,133,113,79.002,19,5,56,0,5,6,0,15,32
"BT_0003",23,11,16,54,52,31,10,0,15,17,0,0,0,45,0
"BT_0004",5,13,4,5,0,15,0,0,16,0,0,0,0,0,21
"BT_0005",4,7,8,0,3,6,0,9,0,0,0,0,0,0,0
"BT_0006",0,0,0,3,4,0,0,0,0,0,0,0,0,11,0
"BT_0007",0,0,1,0,0,0,0,0,0,0,0,12,0,3,0
"BT_0008",1723,1165,1595,595,342,371,352,320,455,236,162,386,110,577,137
"BT_0009",239,220,361,757,633,611,61,44,108,19,31,27,0,8,9
"BT_0010",98,57,145,102,145,109,18,4,14,0,0,20,0,0,0
"BT_0011",57,23,32,23,43,37,0,0,0,0,0,0,0,0,0
"BT_0012",513,259,335,740,910,992,166,412,315,61,122,251,15,34,12
"BT_0013",44,30,77,70,75,118,3,6,7,0,0,9,0,6,0
"BT_0014",295,166,281,348,384,380,26,75,41,29,0,20,0,27,23
"BT_0015",13,7,53,31,71,58,21,5,0,0,0,0,0,9,0
"BT_0016",19,12,22,14,17,12,0,0,0,0,0,13,0,0,0
"BT_0017",1,14,29,13,37,4,0,20,11,0,29,0,0,8,9
"BT_0018",51,15,49,288,253,215,118,43,107,34,20,19,0,1,0
"BT_0019",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"BT_0020",0,2,0,2,1,0,0,0,0,0,0,0,0,0,0
"BT_0021",0,0,4,0,0,6,0,4,5,0,0,0,0,0,0
"BT_0022",3,2,6,16.988,4.991,7,7.004,7,0,0,0,0,0,6,0
"BT_0023",0,1,2,3,1,0,12,0,0,0,0,0,0,5,0
"BT_0024",48,34,39,119,165,133,37,13,44,8,0,19,0,11,12
"BT_0025",0,0,2,17,3,10,25,0,0,0,0,0,0,5,0
"BT_0026",10,5,13,10,8,6,30,31,33,0,0,0,0,0,0
"BT_0027",35.563,45,78,27,35,38,34,92,39,0,0,31,19,1,0
"BT_0028",63,33,43,43,67,54,18,26,10,2,14,38,0,26,0
"BT_0029",366,494,559.301,568,384,407,63,88,64,5,15,7,0,18,52
"BT_0030",252,257,289.699,227,172,182,22,25,48,23,0,0,0,10,0
"BT_0031",75,101,72,62,79,71,23,50,24,0,10,0,0,14,0
"BT_0032",10,5,4,2,1,0,0,0,0,0,0,0,0,8,0
"BT_0033",59,32,55,82,113,59,25,10,40,53,10,14,1,55,8
"BT_0034",74,71,115,90,95,106,30,170,138,11,50,40,7,57,46
"BT_0035",9.047,3,7,1,1,3.135,6,0,2,0,0,0,0,0,0
"BT_0036",43,54,48,100,70,87,25,44,49,28,34,22,8,2,14
"BT_0037",1009,586,963.87,813,863,880,135,148,121,51,48,99,13,96,47
"BT_0038",16,9,30.13,13,15,11,12,8,2,9,12,0,0,8,0
"BT_0039",55,76,118.447,114.54,59,65.748,4,6,10,16,5,7,0,0,12
"BT_0040",206,222,277.553,432.899,419,452.473,48,35,130,37,13,60,0,81,35
"BT_0041",288,211,239.72,696.562,620,620.519,28,48,46,39,6,22,5,53,8
"BT_0042",46,92,69.28,77,58,126.261,4,0,6,9,20,5,0,16,8
"BT_0043",0,0,0,2,0,3,0,0,1,0,0,0,0,0,0
"BT_0044",14,14,26,59,43,39,0,18,25,0,0,19,0,0,0
"BT_0045",33,53,67.909,126,113.662,163,27,46.513,59,0,2,19,18,0,0
"BT_0046",52,75,143.091,338,222.337,287,80,55.487,165,0,0,0,27,14,16
"BT_0047",8,26,25,11,8.001,8,0,0,3,0,0,17,0,22,0
"BT_0048",13,24,37,23,9,23,0,5,1,0,0,0,0,0,12
"BT_0049",61,56,99,179,141,154,10,32,32,0,0,23,38,25,13
"BT_0050",32,59.663,107.513,335,232.726,227,51,39,36,37,0,0,6,52,18
"BT_0051",61,24.337,95.487,94,88.274,110,6,22,33,0,24,28,0,7,6
"BT_0052",554,422,659.135,2722.922,2952,2484.156,93,174,101,46,9,66,37,2,5
"BT_0053",193,151,175,255,464,457.844,19,34,48,34,23,86,0,5,29
"BT_0054",64,60,119,228,199,135,35,32,8,23,20,0,0,28,4
"BT_0055",34,81,78,279,207,248,10,4,0,0,23,0,13,28,14
"BT_0056",143,147,204.11,570,529.677,467.929,26,24,24,8,13,0,0,25,0
"BT_0057",70,45,71.89,126,159.323,241.29,11,20,49,0,7,0,0,7,15
"BT_0058",2851,1266,1648,4991.46,5679.706,5071.78,667,926,1209,337,675,521,30,80,105
"BT_0059",2712,1148,1413,3225.536,3856.298,3491,327,578,470,420,288,190,35,78,90
"BT_0060",772,325,473,1214.011,1582.995,1606,41,154,69,106,15,72,20,52,0
"BT_0061",3506,1646,2091,5914.993,6549.589,6775,710,1119,876,294,605,523,11,122,113
"BT_0062",0,1,2,2,6,0,0,0,0,0,0,7,0,0,0
"BT_0063",1,4,0,3,0,0,0,0,0,0,0,0,0,0,0
"BT_0064",910,504,711,2722,2774.007,3156,170,373,250,170,117,175,65,70,40
"BT_0065",3779,1452,1729,7382.179,9463,9252.002,1451,2301,1560,521,786,726,66,201,117
"BT_0066",180,134,203,371,300,357,8,25,35,16,12,15,0,32,35
"BT_0067",7,17,23,25,10,18,0,0,2,0,0,0,0,9,0
"BT_0068",150,113,107,379,418,319,49,53,61,6,79,46,0,28,31
"BT_0069",217,341,347,445,245.569,346,17,13,70,27,12,10,0,34,3
"BT_0070",354,454,577.049,629,485.431,578,17,41,37,16,4,0,0,9,17
"BT_0071",1534.617,1136,1778,1331,1462.001,1659,38,60,67,0,28,53,12,33,20
"BT_0072",2508,1219.845,1014.838,983.296,1141.752,1081.628,48,122,77.036,154,104,147,24,66,44
"BT_0073",73917.17,34845.748,60194.707,132666.946,154496.896,135105.444,19163.739,24678.244,27216.911,5388.535,6086.098,5800,655,2217.576,1067
"BT_0074",12984.507,6531.109,13016.573,19433.745,22560.829,22527.531,7935.261,10161.756,10577.054,1876.465,1968.902,2146,302,691.424,518
"BT_0075",32,14,34,41.012,17.009,37,115.996,65,142,0,0,5,9,14,0
"BT_0076",150,447,517,134,83,104,54,99,100,10,3,50,0,122,35
"BT_0077",56,41,42,56,72,75,9,2,9,23,22,10,0,28,21
"BT_0078",11,7,9,0,1,2,0,0,0,0,0,0,0,0,0
"BT_0079",0,0,0,4,0,0,0,0,2,0,0,0,0,0,0
