Rowname,Exp,Replicate,Mucin,Species.combi,T0h,T4h,T6h,T8h,T10h,T12h,T14h,T16h,T20h,T24h,T28h,T32h,T36h,T38h,T40h,T42h,T44h,T48h,T56h,T60h,T72h,T86h,T96h,T120h,T144h,T156h,T168h,T192h,T216h,T240h,T264h,T288h
BT_WC1_rep1_OD,BT_batch_WC1,1,No,BT,0.008,0.041,0.137,0.388,0.721,0.843,0.914,0.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_WC1_rep2_OD,BT_batch_WC1,2,No,BT,0.014,0.045,0.149,0.394,0.699,0.837,0.913,0.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_WC1_rep3_OD,BT_batch_WC1,3,No,BT,0.014,0.046,0.151,0.403,0.713,0.843,0.923,0.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_WC1_rep4_OD,BT_batch_WC1,4,No,BT,0.012,0.043,0.144,0.391,0.702,0.852,0.914,0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_WC1_rep5_OD,BT_batch_WC1,5,No,BT,0.005,0.044,0.144,0.407,0.713,0.842,0.914,0.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_WC1_rep6_OD,BT_batch_WC1,6,No,BT,0.006,0.045,0.161,0.432,0.715,0.843,0.918,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_WC1_rep1_pH,BT_batch_WC1,1,No,BT,6.77,6.64,6.55,6.27,5.68,5.26,5.14,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_WC1_rep2_pH,BT_batch_WC1,2,No,BT,6.77,6.63,6.55,6.17,5.6,5.26,5.13,5.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_WC1_rep3_pH,BT_batch_WC1,3,No,BT,6.77,6.63,6.55,6.17,5.64,5.25,5.08,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_WC1_rep4_pH,BT_batch_WC1,4,No,BT,6.74,6.63,6.51,6.14,5.64,5.26,5.08,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
