,GC124670,GC124671,GC124672,GC124673,GC124674,GC124675,GC124676,GC124677,GC124678,original_tags
RIL182_00001,9543.438,6356,3644,7654.448,6929.314,3979,3822,3751,7296,"fig|536231.75.peg.1|RIL182_00001   Chromosomal replication initiator protein DnaA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00002,8655.583,6902.965,4167,6564.191,5952.954,5078.526,3038.446,3647.665,5883.114,"fig|536231.75.peg.2|RIL182_00002   DNA polymerase III beta subunit (EC 2.7.7.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00003,1743.432,1330.875,773.674,795.751,740.185,797.401,649.441,909.498,1295.642,"fig|536231.75.peg.3|RIL182_00003   Uncharacterized S4 RNA-binding-domain protein YbcJ   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00004,11955.871,9299.658,6554.326,7445.057,7095.861,4591.072,6970.112,6669.837,11460.244,"fig|536231.75.peg.4|RIL182_00004   DNA recombination and repair protein RecF   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00005,15802.295,10010.654,6273,12057.993,11234,6651,9794,10300,14782,"fig|536231.75.peg.5|RIL182_00005   DNA gyrase subunit B (EC 5.99.1.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00006,25082.22,15073.06,10448,18039.006,16929,11216,22577,22438,33574,"fig|536231.75.peg.6|RIL182_00006   DNA gyrase subunit A (EC 5.99.1.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00007,1753.208,1081,464,1608,1280,1145,1804,1733,2537,"fig|536231.75.peg.7|RIL182_00007   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00008,1268.004,1040,526,1227,1045,1394,1222,1006,1384,"fig|536231.75.peg.8|RIL182_00008   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00009,5713,6188.946,3893,5099.023,5101,6861.972,3423,2989.814,4917.448,"fig|536231.75.peg.9|RIL182_00009   Efflux ABC transporter, permease/ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.10   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",36,18.054,18,31.977,46,70.028,9.012,19,30.552,"fig|536231.75.peg.10   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00010,1272.504,1157,434,16383,6396,7814,13204.988,12863.186,17511,"fig|536231.75.peg.11|RIL182_00010   Response regulator   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00011,176.496,187,121,2141.254,688,756,2514.783,2625.103,4144.654,"fig|536231.75.peg.12|RIL182_00011   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00012,2587.002,2024,1292,21026.889,5199.062,7738,37192.217,37880.897,43953.346,"fig|536231.75.peg.13|RIL182_00012   beta-glucosidase (EC 3.2.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.14   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,2,0,0,0,0,0,0,0,"fig|536231.75.peg.14   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00013,5823.441,4885,2865,2631,1939,5563,6573,5844,9774,"fig|536231.75.peg.15|RIL182_00013   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00014,4084,2777,1957,2116,1230,3504,2291,2890,4780,"fig|536231.75.peg.16|RIL182_00014   3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00015,2696.703,2256.166,1403,1559,994,2088.633,1575,2197,2910.413,"fig|536231.75.peg.17|RIL182_00015   Pantoate--beta-alanine ligase (EC 6.3.2.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00016,1305.447,1040.834,768,848.004,390,1095.367,691,742,934.587,"fig|536231.75.peg.18|RIL182_00016   Aspartate 1-decarboxylase (EC 4.1.1.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00017,2958,2440,1310,2692,2188,2528,1295,1459,2819,"fig|536231.75.peg.19|RIL182_00017   Uncharacterized DUF1113 membrane protein family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00018,1370,1118,509,1141,1006,668,1786,1254,2471,"fig|536231.75.peg.20|RIL182_00018   Fumarate hydratase class I, alpha region (EC 4.2.1.2); L(+)-tartrate dehydratase alpha subunit (EC 4.2.1.32)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.21   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",47,35,11,56,15,31,55,117,63,"fig|536231.75.peg.21   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
