,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,original_tags
RIL182_00001,462,322,398,240,152,119,210,149,165,"fig|536231.75.peg.1|RIL182_00001   Chromosomal replication initiator protein DnaA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00002,297,126,222,181,193,142,469,237,144,"fig|536231.75.peg.2|RIL182_00002   DNA polymerase III beta subunit (EC 2.7.7.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00003,30.949,19,27.759,68.692,31.723,0,110.857,56,50,"fig|536231.75.peg.3|RIL182_00003   Uncharacterized S4 RNA-binding-domain protein YbcJ   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00004,753.051,505,634.241,968.308,603.277,491,1089.143,809,583,"fig|536231.75.peg.4|RIL182_00004   DNA recombination and repair protein RecF   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00005,1153,882,1177,744,732,685,612,533,589,"fig|536231.75.peg.5|RIL182_00005   DNA gyrase subunit B (EC 5.99.1.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00006,1994,1562,1749,1483,1616,1487,1264,1548,1459,"fig|536231.75.peg.6|RIL182_00006   DNA gyrase subunit A (EC 5.99.1.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00007,169,138,168,184,170,97,115,201,154,"fig|536231.75.peg.7|RIL182_00007   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00008,134,98,95,213,48,143,117,161,144,"fig|536231.75.peg.8|RIL182_00008   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00009,304,227,279,662,368,152,326,332,332,"fig|536231.75.peg.9|RIL182_00009   Efflux ABC transporter, permease/ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.10   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",1,2,10,6,0,0,5,0,0,"fig|536231.75.peg.10   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00010,236,223,149,576,309,299,5904,624,555,"fig|536231.75.peg.11|RIL182_00010   Response regulator   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00011,61,36,28,98,58,63,706.917,107,76,"fig|536231.75.peg.12|RIL182_00011   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00012,471,527,528,610,584,673,1648.083,654,503,"fig|536231.75.peg.13|RIL182_00012   beta-glucosidase (EC 3.2.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.14   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.14   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00013,532,371,375,659,338,224,1216,411,314,"fig|536231.75.peg.15|RIL182_00013   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00014,277,212,286,201,443,365,318,182,103,"fig|536231.75.peg.16|RIL182_00014   3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00015,177,146,192,272,156,107,195.504,278,102,"fig|536231.75.peg.17|RIL182_00015   Pantoate--beta-alanine ligase (EC 6.3.2.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00016,112,97,99,273,211,117,212.496,131,104,"fig|536231.75.peg.18|RIL182_00016   Aspartate 1-decarboxylase (EC 4.1.1.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00017,161,116,127,239,83,97,239,102,152,"fig|536231.75.peg.19|RIL182_00017   Uncharacterized DUF1113 membrane protein family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00018,126,107,125,184,113,51,214,67,111,"fig|536231.75.peg.20|RIL182_00018   Fumarate hydratase class I, alpha region (EC 4.2.1.2); L(+)-tartrate dehydratase alpha subunit (EC 4.2.1.32)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.21   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",7,3,2,7,7,4,6,3,7,"fig|536231.75.peg.21   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00019,80,63,78,43,37,110,76,11,21,"fig|536231.75.peg.22|RIL182_00019   Fumarate hydratase class I, beta region (EC 4.2.1.2); L(+)-tartrate dehydratase beta subunit (EC 4.2.1.32)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00020,201,126,165,143,134,111,282,139,200,"fig|536231.75.peg.23|RIL182_00020   Oxidoreductase, Gfo/Idh/MocA family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00028,2062.294,1498,1626,3027,1948,2013,4532,2252,2070,"fig|536231.75.peg.24|RIL182_00028   Methyl-accepting chemotaxis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00029,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.25|RIL182_00029   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00030,0,0,0,0,9,0,0,0,0,"fig|536231.75.peg.26|RIL182_00030   Transposase, IS30 family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00031,2,3,1,0,0,0,0,79,0,"fig|536231.75.peg.27|RIL182_00031   mobilization/transfer protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00032,1,0,0,0,0,0,0,0,0,"fig|536231.75.peg.28|RIL182_00032   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00033,2,0,4,0,0,0,12,15,0,"fig|536231.75.peg.29|RIL182_00033   FIG00519257: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.30   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",9,10,2,11,0,11,18,7,26,"fig|536231.75.peg.30   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00034,4,2,7,6,0,0,5,0,20,"fig|536231.75.peg.31|RIL182_00034   FIG00529820: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00035,0,0,0,0,0,0,0,0,18,"fig|536231.75.peg.32|RIL182_00035   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.33   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,9,0,0,0,18,0,"fig|536231.75.peg.33   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00036,22,30,29,60,49,18,250,109,34,"fig|536231.75.peg.34|RIL182_00036   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.35   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.35   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00037,6,4,4,21,24,17,337,80,18,"fig|536231.75.peg.36|RIL182_00037   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00038,2,6,0,0,0,0,88,0,44,"fig|536231.75.peg.37|RIL182_00038   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00039,346,330,287,300,303,197,1091,454,244,"fig|536231.75.peg.38|RIL182_00039   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00040,351,258,254,212,169,217,404,200,106,"fig|536231.75.peg.39|RIL182_00040   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
