,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738,original_tags
RIL182_00001,571,727,870,51,64,112,6,27,13,590,324,686,2727,2105,2370,"fig|536231.75.peg.1|RIL182_00001   Chromosomal replication initiator protein DnaA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00002,525,579,712.312,64,120,121,19,36,8,611,369,761,2766.489,2240.067,2708.8,"fig|536231.75.peg.2|RIL182_00002   DNA polymerase III beta subunit (EC 2.7.7.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00003,75,69.845,118.688,12,2,4,1,0,0,188,105.981,273.308,442.977,392.983,531.743,"fig|536231.75.peg.3|RIL182_00003   Uncharacterized S4 RNA-binding-domain protein YbcJ   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00004,837,995.155,1452,92,126,120,79,100,98,1859,1594.019,1715.692,4403.534,3477.95,4030.457,"fig|536231.75.peg.4|RIL182_00004   DNA recombination and repair protein RecF   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00005,1111,1825,2430,179,268,258,73,87,84,1371,1250,1913,5057,4044,4485,"fig|536231.75.peg.5|RIL182_00005   DNA gyrase subunit B (EC 5.99.1.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00006,1880,2461,3419,310,385,337,151,326,107,2305,1477,2410,9120,6684,7887,"fig|536231.75.peg.6|RIL182_00006   DNA gyrase subunit A (EC 5.99.1.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00007,116,216,295,28,55,34,0,21,0,63,161,143,880,538,737,"fig|536231.75.peg.7|RIL182_00007   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00008,60,142,134,7,24,23,5,34,21,493,321,533,728,609,591,"fig|536231.75.peg.8|RIL182_00008   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00009,508,646,848,55,53,40,49,55,44,741,734,822,2123,1698,1936,"fig|536231.75.peg.9|RIL182_00009   Efflux ABC transporter, permease/ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.10   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",4,5,9,0,0,2,0,0,0,0,0,0,14,25,11,"fig|536231.75.peg.10   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00010,33,95,140,9,13,17,75,16,28,2160,2076,2185,1355,1324,1365,"fig|536231.75.peg.11|RIL182_00010   Response regulator   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00011,18,26,27,3,1,4,0,0,0,145,143,126,337,270,314,"fig|536231.75.peg.12|RIL182_00011   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00012,184,265,392,50,48,61,26,144,25,1810,1714,2610,4446,3046,3728,"fig|536231.75.peg.13|RIL182_00012   beta-glucosidase (EC 3.2.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.14   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.14   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00013,256,379,642,154,133,133,256,293,216,1916,1909,2349,3248,2596,2805,"fig|536231.75.peg.15|RIL182_00013   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00014,213,319,518,123,124,161,51,99,23,817,564,763,2854,1967,2220,"fig|536231.75.peg.16|RIL182_00014   3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00015,243,308,375,111,122,107,12,44,41,406,291,682,2411,1944,2227.652,"fig|536231.75.peg.17|RIL182_00015   Pantoate--beta-alanine ligase (EC 6.3.2.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
