,gene_id,description,ko,EC_number,cogs,cogs_description
0,BT_0001,putative lipoprotein,NA,NA,NA,NA
1,BT_0002,hypothetical protein,NA,NA,NA,NA
2,BT_0003,hypothetical protein,NA,NA,NA,NA
3,BT_0004,hypothetical protein,NA,NA,NA,NA
4,BT_0005,30S ribosomal protein S17,K02961,NA,COG0186,"Translation, ribosomal structure and biogenesis"
5,BT_0006,hypothetical protein,NA,NA,NA,NA
6,BT_0007,hypothetical protein,NA,NA,NA,NA
7,BT_0008,GCN5-related N-acetyltransferase,NA,NA,NA,NA
8,BT_0009,phosphate-binding periplasmic protein precursor%2C putative ABC transporter,K02040,NA,COG0226,Inorganic ion transport and metabolism
9,BT_0010,hypothetical protein,NA,NA,NA,NA
10,BT_0011,hypothetical protein,NA,NA,NA,NA
11,BT_0012,putative lipoprotein,NA,NA,NA,NA
12,BT_0013,hypothetical protein,NA,NA,NA,NA
13,BT_0014,rteA%2C two-component system histidine kinase%2C with response regulator receiver domain,NA,NA,COG0784,Signal transduction mechanisms
14,BT_0015,rteB%2C two-component system response regulator,K07713,NA,COG2204,Signal transduction mechanisms
15,BT_0016,conserved hypothetical protein,NA,NA,NA,NA
16,BT_0017,conserved hypothetical protein,NA,NA,NA,NA
17,BT_0018,hypothetical protein,NA,NA,NA,NA
18,BT_0019,conserved hypothetical protein,NA,NA,NA,NA
19,BT_0020,conserved hypothetical protein,NA,NA,NA,NA
20,BT_0021,hypothetical protein,NA,NA,NA,NA
21,BT_0022,Putative DNA binding protein,NA,NA,NA,NA
22,BT_0023,transposase,NA,NA,COG3328,"Mobilome: prophages, transposons"
23,BT_0024,transposase,NA,NA,COG3328,"Mobilome: prophages, transposons"
24,BT_0025,putative transposase,NA,NA,NA,NA
25,BT_0026,putative transposase,NA,NA,NA,NA
26,BT_0027,putative transposase,NA,NA,COG3666,"Mobilome: prophages, transposons"
27,BT_0028,alkaline phosphatase,NA,NA,COG1785,Inorganic ion transport and metabolism
28,BT_0029,SusC homolog,NA,NA,COG4771,Inorganic ion transport and metabolism
29,BT_0030,SusD homolog,K21572,NA,NA,NA
30,BT_0031,Polymerase and histidinol phosphatase,K07053,3.1.3.97,COG1387,Amino acid transport and metabolism
31,BT_0032,hypothetical protein,NA,NA,NA,NA
32,BT_0033,hypothetical protein,NA,NA,NA,NA
33,BT_0034,putative transposase,NA,NA,NA,NA
34,BT_0035,hypothetical protein,NA,NA,NA,NA
35,BT_0036,integrase,NA,NA,COG4974,"Replication, recombination and repair"
36,BT_0037,putative transcriptional regulatory protein,NA,NA,NA,NA
37,BT_0038,hypothetical protein,NA,NA,NA,NA
38,BT_0039,conserved hypothetical protein,NA,NA,NA,NA
39,BT_0040,putative transmembrane protein,NA,NA,COG2244,Cell wall/membrane/envelope biogenesis
40,BT_0041,F420H2:quinone oxidoreductase,NA,NA,COG1035,Energy production and conversion
41,BT_0042,nitroreductase-like protein,NA,NA,COG2327,Cell wall/membrane/envelope biogenesis
42,BT_0043,putative glycosyltransferase,NA,NA,NA,NA
43,BT_0044,glycoside transferase family 2,NA,NA,COG0463,Cell wall/membrane/envelope biogenesis
44,BT_0045,putative polysaccharide biosynthesis protein,NA,NA,NA,NA
45,BT_0046,glycoside transferase family 2,NA,NA,COG0463,Cell wall/membrane/envelope biogenesis
46,BT_0047,glycoside transferase family 2,NA,NA,COG0463,Cell wall/membrane/envelope biogenesis
47,BT_0048,hypothetical protein,NA,NA,NA,NA
48,BT_0049,putative glycosyltransferase,NA,NA,NA,NA
49,BT_0050,glycoside transferase family 2,NA,NA,COG0463,Cell wall/membrane/envelope biogenesis
50,BT_0051,glycoside transferase family 2,NA,NA,COG0463,Cell wall/membrane/envelope biogenesis
51,BT_0052,hypothetical protein,NA,NA,NA,NA
52,BT_0053,glycoside transferase family 4,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
53,BT_0054,glycoside transferase family 4,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
54,BT_0055,glycoside transferase family 4,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
55,BT_0056,putative glycosyltransferase,NA,NA,COG0472,Cell wall/membrane/envelope biogenesis
56,BT_0057,hypothetical protein,NA,NA,NA,NA
57,BT_0058,hypothetical protein,NA,NA,NA,NA
58,BT_0059,conserved hypothetical protein,NA,NA,NA,NA
59,BT_0060,putative polysaccharide export protein,K01991,NA,COG1596,Cell wall/membrane/envelope biogenesis
60,BT_0061,putative tyrosine-protein kinase ptk,K16692,2.7.10.3,COG3206,Cell wall/membrane/envelope biogenesis
61,BT_0062,hypothetical protein,NA,NA,NA,NA
62,BT_0063,hypothetical protein,NA,NA,NA,NA
63,BT_0064,hypothetical protein,NA,NA,NA,NA
64,BT_0065,alpha-galactosidase precursor,NA,NA,NA,NA
65,BT_0066,major outer membrane protein OmpA,NA,NA,COG2885,Cell wall/membrane/envelope biogenesis
66,BT_0067,hypothetical protein,NA,NA,NA,NA
67,BT_0068,hypothetical protein,NA,NA,NA,NA
68,BT_0069,transposase,NA,NA,NA,NA
69,BT_0070,transposase,NA,NA,COG3666,"Mobilome: prophages, transposons"
70,BT_0071,hypothetical protein,NA,NA,NA,NA
71,BT_0072,putative ABC transporter%2C ATP-binding protein,NA,NA,COG0178,"Replication, recombination and repair"
72,BT_0073,putative ABC transporter%2C ATP-binding protein,NA,NA,COG1132,Defense mechanisms
73,BT_0074,hypothetical protein,NA,NA,NA,NA
74,BT_0075,conserved hypothetical protein,NA,NA,NA,NA
75,BT_0076,transposase,NA,NA,COG4974,"Replication, recombination and repair"
76,BT_0077,conserved hypothetical protein,NA,NA,NA,NA
77,BT_0078,putative DNA repair protein,NA,NA,COG2003,"Replication, recombination and repair"
78,BT_0079,putative anti-restriction protein,NA,NA,COG4734,Defense mechanisms
79,BT_0080,conserved hypothetical protein,NA,NA,NA,NA
80,BT_0081,conserved hypothetical protein,NA,NA,NA,NA
81,BT_0082,conserved hypothetical protein,NA,NA,NA,NA
82,BT_0083,conserved hypothetical protein,NA,NA,NA,NA
83,BT_0084,conserved protein found in conjugate transposon,NA,NA,NA,NA
84,BT_0085,conserved protein found in conjugate transposon,NA,NA,NA,NA
85,BT_0086,conserved protein found in conjugate transposon,NA,NA,NA,NA
86,BT_0087,conserved protein found in conjugate transposon,NA,NA,NA,NA
87,BT_0088,conserved protein found in conjugate transposon,NA,NA,NA,NA
88,BT_0089,conserved protein found in conjugate transposon,NA,NA,NA,NA
89,BT_0090,conserved protein found in conjugate transposon,NA,NA,NA,NA
90,BT_0091,conserved protein found in conjugate transposon,NA,NA,NA,NA
91,BT_0092,conserved protein found in conjugate transposon,NA,NA,NA,NA
92,BT_0093,conserved protein found in conjugate transposon,NA,NA,COG3451,"Intracellular trafficking, secretion, and vesicular transport"
93,BT_0094,conserved protein found in conjugate transposon,NA,NA,NA,NA
94,BT_0095,conserved protein found in conjugate transposon,NA,NA,NA,NA
95,BT_0096,conserved hypothetical protein,NA,NA,NA,NA
96,BT_0097,conserved protein found in conjugate transposon,NA,NA,NA,NA
97,BT_0098,conserved protein found in conjugate transposon,NA,NA,COG1192,"Cell cycle control, cell division, chromosome partitioning"
98,BT_0099,hypothetical protein,NA,NA,NA,NA
99,BT_0100,conserved hypothetical protein,NA,NA,NA,NA
100,BT_0101,putative mobilisation protein,NA,NA,NA,NA
101,BT_0102,putative transmembrane mobilisation protein,NA,NA,COG3505,"Intracellular trafficking, secretion, and vesicular transport"
102,BT_0103,conserved hypothetical protein,NA,NA,NA,NA
103,BT_0104,hypothetical protein,NA,NA,NA,NA
104,BT_0105,DNA topoisomerase I (Omega-protein),K03169,5.6.2.1,COG0550,"Replication, recombination and repair"
105,BT_0106,riboflavin biosynthesis protein RibD-like protein,NA,NA,COG0262,Coenzyme transport and metabolism
106,BT_0107,Putative DNA binding protein,NA,NA,NA,NA
107,BT_0108,conserved hypothetical protein,NA,NA,COG0358,"Replication, recombination and repair"
108,BT_0109,Putative DNA binding protein,NA,NA,NA,NA
109,BT_0110,putative regulatory protein,NA,NA,NA,NA
110,BT_0111,hypothetical protein,NA,NA,NA,NA
111,BT_0112,putative permease,K07089,NA,COG0701,Function unknown
112,BT_0113,hypothetical protein,NA,NA,NA,NA
113,BT_0114,putative symporter%2C arsenic resistance membrane protein,K03325,NA,COG0798,Inorganic ion transport and metabolism
114,BT_0115,arsenate reductase,K03741,1.20.4.4,COG0394,Signal transduction mechanisms
115,BT_0116,arsenical pump-driving ATPase,K01551,7.3.2.7,COG0003,Inorganic ion transport and metabolism
116,BT_0117,arsenical resistance operon trans-acting repressor,NA,NA,NA,NA
117,BT_0118,putative cytochrome c biogenesis protein,NA,NA,NA,NA
118,BT_0119,hypothetical protein,NA,NA,NA,NA
119,BT_0120,redox-active disulfide protein 2-like protein,NA,NA,NA,NA
120,BT_0121,transcriptional regulator%2C ArsR family,NA,NA,COG0640,Transcription
121,BT_t01,tRNA-Ser,K14233,NA,NA,NA
122,BT_0122,3-oxoacyl-[acyl-carrier-protein] synthase III,K00648,2.3.1.180,COG0332,Lipid transport and metabolism
123,BT_0123,NADH-ubiquinone oxidoreductase subunit,K18330,1.12.1.3,COG1905,Energy production and conversion
124,BT_0124,NADH:ubiquinone oxidoreductase subunit,K18332,1.12.1.3,COG4624,Energy production and conversion
125,BT_0125,NADH:ubiquinone oxidoreductase subunit,K18331,1.12.1.3,COG3411,Energy production and conversion
126,BT_0126,Six-hairpin glycosidase,NA,NA,NA,NA
127,BT_0127,putative transmembrane protein,NA,NA,NA,NA
128,BT_0128,hypothetical protein,NA,NA,NA,NA
129,BT_0129,mannonate dehydratase,K01686,4.2.1.8,COG1312,Carbohydrate transport and metabolism
130,BT_0130,putative oxidoreductase,NA,NA,COG1028,Lipid transport and metabolism
131,BT_0131,putative transposase,NA,NA,NA,NA
132,BT_0132,alpha-glucosidase%2C putative,K01187,3.2.1.20,NA,NA
133,BT_0133,putative sugar phosphate isomerase,K07106,4.2.1.126,COG2103,Cell wall/membrane/envelope biogenesis
134,BT_0134,conserved hypothetical protein,NA,NA,NA,NA
135,BT_0135,conserved hypothetical protein,NA,NA,NA,NA
136,BT_0136,hypothetical protein,NA,NA,NA,NA
137,BT_0137,Acetyl-CoA carboxylase-like protein,K09955,NA,COG3533,Carbohydrate transport and metabolism
138,BT_0138,transcriptional regulator,NA,NA,COG3292,Signal transduction mechanisms
139,BT_0139,RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
140,BT_0140,SusC homolog,NA,NA,COG4206,Coenzyme transport and metabolism
141,BT_0141,SusD homolog,K21572,NA,NA,NA
142,BT_0142,alpha-fucosidase-like protein,NA,NA,COG5492,General function prediction only
143,BT_0143,putative transmembrane protein,NA,NA,NA,NA
144,BT_0144,putative beta-xylosidase,NA,NA,COG3507,Carbohydrate transport and metabolism
145,BT_0145,putative beta-xylosidase,NA,NA,COG3507,Carbohydrate transport and metabolism
146,BT_0146,unsaturated glucuronyl hydrolase,K18581,3.2.1.180,NA,NA
147,BT_0147,conserved hypothetical protein,NA,NA,NA,NA
148,BT_0148,putative hemolysin,K03699,NA,COG1253,General function prediction only
149,BT_0149,peptidase,K07387,NA,COG4783,Cell wall/membrane/envelope biogenesis
150,BT_0150,putative ferric aerobactin receptor,NA,NA,COG4771,Inorganic ion transport and metabolism
151,BT_0151,conserved hypothetical protein,NA,NA,NA,NA
152,BT_0152,acetyl esterase (acetylxylosidase),NA,NA,COG0627,Defense mechanisms
153,BT_0153,conserved hypothetical protein,NA,NA,NA,NA
154,BT_0154,putative periplasmic protease,NA,NA,COG0793,"Posttranslational modification, protein turnover, chaperones"
155,BT_0155,putative tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,K00566,2.8.1.13,COG0482,"Translation, ribosomal structure and biogenesis"
156,BT_0156,transcriptional regulator,NA,NA,COG2197,Transcription
157,BT_0157,conserved hypothetical protein,NA,NA,NA,NA
158,BT_0158,Na(+)/H(+) antiporter,K03315,NA,COG1757,Energy production and conversion
159,BT_0159,conserved hypothetical protein,NA,NA,COG1814,Inorganic ion transport and metabolism
160,BT_0160,conserved hypothetical protein,NA,NA,NA,NA
161,BT_0161,putative permease,NA,NA,COG2814,Carbohydrate transport and metabolism
162,BT_0162,penicillin-binding protein 1C (PBP-1c),K05367,2.4.1.129,COG4953,Cell wall/membrane/envelope biogenesis
163,BT_0163,putative outer membrane protein,NA,NA,COG2373,General function prediction only
164,BT_0164,putative outer membrane protein%2C alpha-2-macroglobulin-like protein,K06894,NA,COG2373,General function prediction only
165,BT_0165,peptidyl-prolyl cis-trans isomerase,NA,NA,COG0545,"Posttranslational modification, protein turnover, chaperones"
166,BT_0166,putative thiol-disulfide isomerase,NA,NA,COG1225,"Posttranslational modification, protein turnover, chaperones"
167,BT_0167,conserved hypothetical protein,NA,NA,COG2361,Defense mechanisms
168,BT_0168,nucleotidyltransferase family protein,K07075,NA,COG1669,General function prediction only
169,BT_0169,putative endonuclease/exonuclease/phosphatase,NA,NA,NA,NA
170,BT_0170,putative conserved membrane protein,NA,NA,COG4828,Function unknown
171,BT_0171,Peptidase M-like protein,NA,NA,NA,NA
172,BT_0172,hypothetical protein,NA,NA,NA,NA
173,BT_0173,conserved hypothetical protein,NA,NA,NA,NA
174,BT_0174,conserved hypothetical protein,NA,NA,COG0822,"Posttranslational modification, protein turnover, chaperones"
175,BT_0175,conserved hypothetical protein,NA,NA,NA,NA
176,BT_0176,conserved hypothetical protein,NA,NA,NA,NA
177,BT_0177,conserved hypothetical protein,NA,NA,NA,NA
178,BT_0178,conserved hypothetical protein,NA,NA,NA,NA
179,BT_0179,SsrA-binding protein,K03664,NA,COG0691,"Posttranslational modification, protein turnover, chaperones"
180,BT_0180,5-methyltetrahydrofolate-homocysteine methyltransferase,K00548,2.1.1.13,COG1410,Amino acid transport and metabolism
181,BT_0181,putative NADH dehydrogenase/NAD(P)H nitroreductase,NA,NA,COG0778,Energy production and conversion
182,BT_0182,osmo-regulated proline transporter (Na+/proline symporter),K03307,NA,COG0591,Amino acid transport and metabolism
183,BT_0183,glycoside hydrolase family 23,K18691,NA,COG4623,Signal transduction mechanisms
184,BT_0184,uridine kinase (uridine monophosphokinase),K00876,2.7.1.48,COG0572,Nucleotide transport and metabolism
185,BT_0185,stress responsive A/B barrel domain-like protein,NA,NA,NA,NA
186,BT_0186,thiol:disulfide interchange protein dsbD precursor,NA,NA,COG4232,"Posttranslational modification, protein turnover, chaperones"
187,BT_0187,possible Pirin family protein,K06911,1.13.11.24,COG1741,General function prediction only
188,BT_0188,RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
189,BT_0189,conserved hypothetical protein%2C putative anti-sigma factor,NA,NA,COG3712,Signal transduction mechanisms
190,BT_0190,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
191,BT_0191,SusD homolog,K21572,NA,NA,NA
