,gene_ids,,ko,EC_number,cogs,cogs_description,cogs_category
0,RIL182_00001,Chromosomal replication initiator protein DnaA,ko:K02313,-,COG0593,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids,L
1,RIL182_00002,DNA polymerase III beta subunit (EC 2.7.7.7),ko:K02338,2.7.7.7,COG0592,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",L
2,RIL182_00003,Uncharacterized S4 RNA-binding-domain protein YbcJ,ko:K14761,-,COG2501,S4 domain,S
3,RIL182_00004,DNA recombination and repair protein RecF,ko:K03629,-,COG1195,"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP",L
4,RIL182_00005,DNA gyrase subunit B (EC 5.99.1.3),ko:K02470,5.99.1.3,COG0187,"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner",L
5,RIL182_00006,DNA gyrase subunit A (EC 5.99.1.3),ko:K02469,5.99.1.3,COG0188,"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner",L
6,RIL182_00007,hypothetical protein,-,-,COG3550,"Psort location Cytoplasmic, score 8.87",S
7,RIL182_00008,hypothetical protein,NA,NA,NA,NA,NA
8,RIL182_00009,Efflux ABC transporter%2C permease/ATP-binding protein,ko:K06148,-,COG1132,ABC transporter,V
9,RIL182_00010,Response regulator,-,-,COG3279,LytTr DNA-binding domain protein,K
10,RIL182_00011,hypothetical protein,-,-,2AH77,Protein of unknown function (DUF3021),S
11,RIL182_00012,beta-glucosidase (EC 3.2.1.21),ko:K05349,3.2.1.21,COG1472,Glycosyl hydrolase family 3 C-terminal domain,G
12,RIL182_00013,hypothetical protein,-,-,COG5495,NADP oxidoreductase coenzyme F420-dependent,S
13,RIL182_00014,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11),ko:K00606,2.1.2.11,COG0413,"Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate",H
14,RIL182_00015,Pantoate--beta-alanine ligase (EC 6.3.2.1),ko:K01918,6.3.2.1,COG0414,Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate,H
15,RIL182_00016,Aspartate 1-decarboxylase (EC 4.1.1.11),ko:K01579,4.1.1.11,COG0853,Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine,H
16,RIL182_00017,Uncharacterized DUF1113 membrane protein family,-,-,COG0840,"Psort location CytoplasmicMembrane, score",D
17,RIL182_00018,Fumarate hydratase class I%2C alpha region (EC 4.2.1.2)%3B L(+)-tartrate dehydratase alpha subunit (EC 4.2.1.32),ko:K01677,4.2.1.2,COG1951,"Fe-S type, tartrate fumarate subfamily, alpha",C
18,RIL182_00019,Fumarate hydratase class I%2C beta region (EC 4.2.1.2)%3B L(+)-tartrate dehydratase beta subunit (EC 4.2.1.32),ko:K01678,4.2.1.2,COG1838,"Fe-S type, tartrate fumarate subfamily, beta",C
19,RIL182_00020,Oxidoreductase%2C Gfo/Idh/MocA family,-,-,COG0673,Oxidoreductase NAD-binding domain protein,E
20,RIL182_00021,tRNA-Ser,NA,NA,NA,NA,NA
21,RIL182_00022,SSU rRNA ## 16S rRNA%2C small subunit ribosomal RNA,NA,NA,NA,NA,NA
22,RIL182_00023,5S ribosomal RNA,NA,NA,NA,NA,NA
23,RIL182_00024,LSU rRNA ## 23S rRNA%2C large subunit ribosomal RNA,NA,NA,NA,NA,NA
24,RIL182_00025,tRNA-Asn,NA,NA,NA,NA,NA
25,RIL182_00026,tRNA-Glu,NA,NA,NA,NA,NA
26,RIL182_00027,tRNA-Cys,NA,NA,NA,NA,NA
27,RIL182_00028,Methyl-accepting chemotaxis protein,ko:K03406,-,COG0840,methyl-accepting chemotaxis protein,NT
28,RIL182_00029,hypothetical protein,NA,NA,NA,NA,NA
29,RIL182_00030,Transposase%2C IS30 family,-,-,COG2826,PFAM Integrase core domain,L
30,RIL182_00031,mobilization/transfer protein,-,-,COG1196,MobA MobL family protein,D
31,RIL182_00032,hypothetical protein,-,-,292P2,"Psort location Cytoplasmic, score",S
32,RIL182_00033,FIG00519257: hypothetical protein,-,-,2DRW8,-,-
33,RIL182_00034,FIG00529820: hypothetical protein,ko:K06919,-,COG3378,"Phage plasmid primase, P4 family",S
34,RIL182_00035,hypothetical protein,-,-,COG0358,"Psort location Cytoplasmic, score",L
35,RIL182_00036,hypothetical protein,-,-,28ICW,-,-
36,RIL182_00037,hypothetical protein,-,-,COG1191,"Psort location Cytoplasmic, score",K
37,RIL182_00038,hypothetical protein,-,-,COG1191,"Psort location Cytoplasmic, score",K
38,RIL182_00039,hypothetical protein,-,-,COG3290,"Psort location CytoplasmicMembrane, score",T
39,RIL182_00040,hypothetical protein,-,-,COG3279,"Psort location Cytoplasmic, score",T
40,RIL182_00041,hypothetical protein,-,-,COG3279,Response regulator of the LytR AlgR family,KT
41,RIL182_00042,putative secreted protein,-,-,2CF3Z,-,-
42,RIL182_00043,hypothetical protein,NA,NA,NA,NA,NA
43,RIL182_00044,protein of unknown function DUF1214,-,-,COG5361,Protein of unknown function (DUF1254),S
44,RIL182_00045,Alkyl sulfatase,-,-,COG2015,Alkyl sulfatase dimerisation,Q
45,RIL182_00046,RNA polymerase sigma factor SigV,ko:K03088,-,COG1595,"Sigma-70, region 4",K
46,RIL182_00047,hypothetical protein,NA,NA,NA,NA,NA
47,RIL182_00048,tRNA-Cys,NA,NA,NA,NA,NA
48,RIL182_00049,acetyl esterase family enzyme,-,-,COG0657,alpha/beta hydrolase fold,I
49,RIL182_00050,Tyrosyl-tRNA synthetase (EC 6.1.1.1),ko:K01866,6.1.1.1,COG0162,Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr),J
50,RIL182_00051,hypothetical protein,NA,NA,NA,NA,NA
51,RIL182_00052,RNA polymerase sigma factor,ko:K03088,-,COG1595,Belongs to the sigma-70 factor family. ECF subfamily,K
52,RIL182_00053,ECF-type sigma factor negative effector,-,-,2BP58,-,-
53,RIL182_00054,Hydrolase (HAD superfamily) in cluster with DUF1447,-,-,COG0561,"Psort location Cytoplasmic, score",S
54,RIL182_00055,hypothetical protein,NA,NA,NA,NA,NA
55,RIL182_00056,Substrate-specific component BioY of biotin ECF transporter,ko:K03523,-,COG1268,BioY family,S
56,RIL182_00057,Biotin synthase (EC 2.8.1.6),ko:K01012,2.8.1.6,COG0502,Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism,H
