,GC124712,GC124713,GC124714,GC124715,GC124716,GC124717,GC124718,GC124719,GC124720,GC124721,GC124722,GC124723,original_tags
RIL182_00001,1690,1096,791,3958,3685,2138,2893.002,5616,8416,2773,647,2275,"fig|536231.75.peg.1|RIL182_00001   Chromosomal replication initiator protein DnaA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00002,1514,1266.569,1408.471,2439.943,2417.045,1679,3325.612,5241.505,7043.043,3829,691,2893,"fig|536231.75.peg.2|RIL182_00002   DNA polymerase III beta subunit (EC 2.7.7.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00003,231.349,190.251,307.974,465.418,607.253,341.684,586.403,840.295,825.137,369,164,512,"fig|536231.75.peg.3|RIL182_00003   Uncharacterized S4 RNA-binding-domain protein YbcJ   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00004,2606.651,2017.18,2139.556,5930.639,6219.702,4512.316,5290.986,7544.2,9813.82,5308.056,2009,4910,"fig|536231.75.peg.4|RIL182_00004   DNA recombination and repair protein RecF   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00005,2893,2082,2215,9873,8377,5978,6139,11734.051,14979.485,8570,2413,6246,"fig|536231.75.peg.5|RIL182_00005   DNA gyrase subunit B (EC 5.99.1.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00006,5266,3851,4314,14483.918,9382.008,8864,7952.006,15674,24338,14077,4927,10580.497,"fig|536231.75.peg.6|RIL182_00006   DNA gyrase subunit A (EC 5.99.1.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00007,251,160,176,973,725,540,638,1198,1520,791,143,652,"fig|536231.75.peg.7|RIL182_00007   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00008,221,192,181,752,745,965,608,1000,982,533,142,335,"fig|536231.75.peg.8|RIL182_00008   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00009,2018,1806,2675.067,3338,3219,2845.204,4702,5897,5038,2299,802,2337,"fig|536231.75.peg.9|RIL182_00009   Efflux ABC transporter, permease/ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.10   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",5,4,4,29,5,1,21,55,42,34,0,37,"fig|536231.75.peg.10   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00010,6664.853,5729,5523,1245,1389,1342.796,888,1315,720,474,431,388,"fig|536231.75.peg.11|RIL182_00010   Response regulator   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00011,455,404.743,471,192,127,185,152,225,145,152,67,51,"fig|536231.75.peg.12|RIL182_00011   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00012,1672,1624.656,1910,2183,2447,1841,1554,2963.233,2827,2377,1061,1459,"fig|536231.75.peg.13|RIL182_00012   beta-glucosidase (EC 3.2.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.14   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",3,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.14   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00013,3467,2936,3744,5525,5245,2858,3612,4765.052,3887,2315,1735,1689,"fig|536231.75.peg.15|RIL182_00013   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00014,696,519,394,1707,1292,1039,1861,3935.083,2591,1828,852,1525,"fig|536231.75.peg.16|RIL182_00014   3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00015,450,346,212.19,1516.024,901.611,507,1637.194,2756,2096,1453,491,986,"fig|536231.75.peg.17|RIL182_00015   Pantoate--beta-alanine ligase (EC 6.3.2.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00016,204,197,188.81,957.976,960.389,407,867.336,1481,1414,492,281,513,"fig|536231.75.peg.18|RIL182_00016   Aspartate 1-decarboxylase (EC 4.1.1.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00017,1124,819,880.802,1609,1428,1065.06,1965.47,3095,2233,967,515,893,"fig|536231.75.peg.19|RIL182_00017   Uncharacterized DUF1113 membrane protein family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00018,548,479,480,1531,1019,662,1165,1456,1021,603,234,434,"fig|536231.75.peg.20|RIL182_00018   Fumarate hydratase class I, alpha region (EC 4.2.1.2); L(+)-tartrate dehydratase alpha subunit (EC 4.2.1.32)   [Roseburia intestinalis L1-82 | 536231.75]
"
